"export-plot data (NetLogo 6.2.2)"
"cog-cascades-trust.nlogo"
"02/25/2023 05:49:41:950 -0500"

"MODEL SETTINGS"
"threshold","epsilon","show-media-connections?","n","show-citizen-political?","show-social-friends?","spread-type","load-graph?","load-graph-path","save-graph-path","cognitive-fn","simple-spread-chance","complex-spread-ratio","brain-type","tick-end","sim-output-dir","media-agents?","cognitive-exponent","cognitive-scalar","cognitive-scalar?","cognitive-exponent?","cognitive-translate","cognitive-translate?","graph-type","erdos-renyi-p","watts-strogatz-p","watts-strogatz-k","ba-m","mag-style","contagion-on?","belief-resolution","citizen-citizen-influence","citizen-media-influence","media-citizen-influence","kronecker-seed","kronecker-k","messages-data-path","message-repeats","message-file","citizen-init-dist","cit-init-normal-mean","cit-init-normal-std","institution-tactic","media-ecosystem","media-ecosystem-path","media-ecosystem-dist","media-dist-normal-mean","media-dist-normal-std","media-ecosystem-n","media-ecosystem-file","graph-homophily?","repetition","cit-memory-len","zeta-cit","citizen-trust-fn","citizen-citizen-trust?","citizen-media-trust?","zeta-media","matrix-spread?","matrix-trust-conn?","cits-hear-from-path?"
"20","0","true","50","true","true","""cognitive""","true","""C:/Users/cknox02/Documents/nicks outputs25-Feb-2023-parameter-sweep-low-res/graphs/2-broadcast-brain-uniform-15-polarized-0.25-0.75-2-4.csv""","""C:/Users/cknox02/Documents/nicks outputs25-Feb-2023-parameter-sweep-low-res/graphs/2-broadcast-brain-uniform-15-polarized-0.75-0.5-10-1.csv""","""sigmoid-stubborn""","0.15","0.35","""discrete""","100","""C:/Users/cknox02/Documents/nicks outputs""","true","4","20","false","true","2","true","""barabasi-albert""","0.05","0.5","5","3","""default""","false","7","1","0.1","1","""[[0.6,0.16,0.24],\n  [0.40,0.2,0.4],\n  [0.21,0.14,0.65]]""","5","""D:/school/grad-school/Tufts/research/cog-contagion-media-ecosystem/messaging-data/""","1","""gradual""","""polarized""","3","1","""broadcast-brain""","""distribution""","""D:/school/grad-school/Tufts/research/cog-contagion-media-ecosystem/ecosystems/""","""uniform""","3","1","15","""three-polarized""","false","4","2","0.25","""average-bel""","true","true","0.75","false","true","true"

"""percent-agent-beliefs"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","116","0","1","true","""6""","false","7"

"pen name","pen down?","mode","interval","color","x"
"""0""","true","0","1","14.9","100"
"""1""","true","0","1","14.6","100"
"""2""","true","0","1","124.7","100"
"""3""","true","0","1","124.3","100"
"""4""","true","0","1","113.5","100"
"""5""","true","0","1","104.5","100"
"""6""","true","0","1","104.7","100"

"""0""",,,,"""1""",,,,"""2""",,,,"""3""",,,,"""4""",,,,"""5""",,,,"""6"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"18","0.02","14.9","true","18","0.44","14.6","true","18","0","124.7","true","18","0","124.3","true","18","0.54","113.5","true","18","0","104.5","true","18","0","104.7","true"
"19","0.44","14.9","true","19","0.02","14.6","true","19","0","124.7","true","19","0","124.3","true","19","0.52","113.5","true","19","0.02","104.5","true","19","0","104.7","true"
"20","0.44","14.9","true","20","0.02","14.6","true","20","0","124.7","true","20","0","124.3","true","20","0.54","113.5","true","20","0","104.5","true","20","0","104.7","true"
"21","0.02","14.9","true","21","0.44","14.6","true","21","0","124.7","true","21","0","124.3","true","21","0","113.5","true","21","0.54","104.5","true","21","0","104.7","true"
"22","0.02","14.9","true","22","0.44","14.6","true","22","0","124.7","true","22","0","124.3","true","22","0.02","113.5","true","22","0.52","104.5","true","22","0","104.7","true"
"23","0.42","14.9","true","23","0.04","14.6","true","23","0","124.7","true","23","0","124.3","true","23","0","113.5","true","23","0.52","104.5","true","23","0.02","104.7","true"
"24","0.46","14.9","true","24","0","14.6","true","24","0","124.7","true","24","0","124.3","true","24","0.52","113.5","true","24","0.02","104.5","true","24","0","104.7","true"
"25","0.02","14.9","true","25","0.44","14.6","true","25","0","124.7","true","25","0","124.3","true","25","0.52","113.5","true","25","0.02","104.5","true","25","0","104.7","true"
"26","0.02","14.9","true","26","0.44","14.6","true","26","0","124.7","true","26","0","124.3","true","26","0.54","113.5","true","26","0","104.5","true","26","0","104.7","true"
"27","0.46","14.9","true","27","0","14.6","true","27","0","124.7","true","27","0","124.3","true","27","0","113.5","true","27","0.54","104.5","true","27","0","104.7","true"
"28","0.02","14.9","true","28","0.44","14.6","true","28","0","124.7","true","28","0","124.3","true","28","0.28","113.5","true","28","0","104.5","true","28","0.26","104.7","true"
"29","0.02","14.9","true","29","0.44","14.6","true","29","0","124.7","true","29","0","124.3","true","29","0","113.5","true","29","0","104.5","true","29","0.54","104.7","true"
"30","0.02","14.9","true","30","0.44","14.6","true","30","0","124.7","true","30","0","124.3","true","30","0","113.5","true","30","0.54","104.5","true","30","0","104.7","true"
"31","0.02","14.9","true","31","0.44","14.6","true","31","0","124.7","true","31","0","124.3","true","31","0","113.5","true","31","0.54","104.5","true","31","0","104.7","true"
"32","0.02","14.9","true","32","0.44","14.6","true","32","0","124.7","true","32","0","124.3","true","32","0.54","113.5","true","32","0","104.5","true","32","0","104.7","true"
"33","0.02","14.9","true","33","0.44","14.6","true","33","0","124.7","true","33","0","124.3","true","33","0","113.5","true","33","0.54","104.5","true","33","0","104.7","true"
"34","0.46","14.9","true","34","0","14.6","true","34","0","124.7","true","34","0","124.3","true","34","0","113.5","true","34","0.54","104.5","true","34","0","104.7","true"
"35","0.04","14.9","true","35","0.42","14.6","true","35","0","124.7","true","35","0","124.3","true","35","0.54","113.5","true","35","0","104.5","true","35","0","104.7","true"
"36","0.02","14.9","true","36","0.44","14.6","true","36","0","124.7","true","36","0","124.3","true","36","0.54","113.5","true","36","0","104.5","true","36","0","104.7","true"
"37","0.46","14.9","true","37","0","14.6","true","37","0","124.7","true","37","0","124.3","true","37","0","113.5","true","37","0.54","104.5","true","37","0","104.7","true"
"38","0.46","14.9","true","38","0","14.6","true","38","0","124.7","true","38","0","124.3","true","38","0","113.5","true","38","0.54","104.5","true","38","0","104.7","true"
"39","0.46","14.9","true","39","0","14.6","true","39","0","124.7","true","39","0","124.3","true","39","0","113.5","true","39","0.54","104.5","true","39","0","104.7","true"
"40","0.44","14.9","true","40","0.02","14.6","true","40","0","124.7","true","40","0","124.3","true","40","0.18","113.5","true","40","0","104.5","true","40","0.36","104.7","true"
"41","0.04","14.9","true","41","0.42","14.6","true","41","0","124.7","true","41","0","124.3","true","41","0.26","113.5","true","41","0","104.5","true","41","0.28","104.7","true"
"42","0.46","14.9","true","42","0","14.6","true","42","0","124.7","true","42","0","124.3","true","42","0.36","113.5","true","42","0","104.5","true","42","0.18","104.7","true"
"43","0.02","14.9","true","43","0.44","14.6","true","43","0","124.7","true","43","0","124.3","true","43","0","113.5","true","43","0.54","104.5","true","43","0","104.7","true"
"44","0.02","14.9","true","44","0.44","14.6","true","44","0","124.7","true","44","0","124.3","true","44","0","113.5","true","44","0","104.5","true","44","0.54","104.7","true"
"45","0.44","14.9","true","45","0.02","14.6","true","45","0","124.7","true","45","0","124.3","true","45","0","113.5","true","45","0.54","104.5","true","45","0","104.7","true"
"46","0.02","14.9","true","46","0.44","14.6","true","46","0","124.7","true","46","0","124.3","true","46","0","113.5","true","46","0.54","104.5","true","46","0","104.7","true"
"47","0.02","14.9","true","47","0.44","14.6","true","47","0","124.7","true","47","0","124.3","true","47","0","113.5","true","47","0.52","104.5","true","47","0.02","104.7","true"
"48","0.46","14.9","true","48","0","14.6","true","48","0","124.7","true","48","0","124.3","true","48","0.26","113.5","true","48","0","104.5","true","48","0.28","104.7","true"
"49","0.02","14.9","true","49","0.44","14.6","true","49","0","124.7","true","49","0","124.3","true","49","0","113.5","true","49","0","104.5","true","49","0.54","104.7","true"
"50","0.46","14.9","true","50","0","14.6","true","50","0","124.7","true","50","0","124.3","true","50","0","113.5","true","50","0","104.5","true","50","0.54","104.7","true"
"51","0.02","14.9","true","51","0.44","14.6","true","51","0","124.7","true","51","0","124.3","true","51","0","113.5","true","51","0.54","104.5","true","51","0","104.7","true"
"52","0.44","14.9","true","52","0.02","14.6","true","52","0","124.7","true","52","0","124.3","true","52","0.54","113.5","true","52","0","104.5","true","52","0","104.7","true"
"53","0.02","14.9","true","53","0.44","14.6","true","53","0","124.7","true","53","0","124.3","true","53","0","113.5","true","53","0.54","104.5","true","53","0","104.7","true"
"54","0.02","14.9","true","54","0.44","14.6","true","54","0","124.7","true","54","0","124.3","true","54","0","113.5","true","54","0.54","104.5","true","54","0","104.7","true"
"55","0.02","14.9","true","55","0.44","14.6","true","55","0","124.7","true","55","0","124.3","true","55","0.54","113.5","true","55","0","104.5","true","55","0","104.7","true"
"56","0.02","14.9","true","56","0.44","14.6","true","56","0","124.7","true","56","0","124.3","true","56","0","113.5","true","56","0.54","104.5","true","56","0","104.7","true"
"57","0.02","14.9","true","57","0.44","14.6","true","57","0","124.7","true","57","0","124.3","true","57","0","113.5","true","57","0.54","104.5","true","57","0","104.7","true"
"58","0.04","14.9","true","58","0.42","14.6","true","58","0","124.7","true","58","0","124.3","true","58","0.52","113.5","true","58","0.02","104.5","true","58","0","104.7","true"
"59","0.02","14.9","true","59","0.44","14.6","true","59","0","124.7","true","59","0","124.3","true","59","0.32","113.5","true","59","0","104.5","true","59","0.22","104.7","true"
"60","0.06","14.9","true","60","0.4","14.6","true","60","0","124.7","true","60","0","124.3","true","60","0.54","113.5","true","60","0","104.5","true","60","0","104.7","true"
"61","0.02","14.9","true","61","0.44","14.6","true","61","0","124.7","true","61","0","124.3","true","61","0.5","113.5","true","61","0.04","104.5","true","61","0","104.7","true"
"62","0.02","14.9","true","62","0.44","14.6","true","62","0","124.7","true","62","0","124.3","true","62","0.52","113.5","true","62","0","104.5","true","62","0.02","104.7","true"
"63","0.02","14.9","true","63","0.44","14.6","true","63","0","124.7","true","63","0","124.3","true","63","0.24","113.5","true","63","0","104.5","true","63","0.3","104.7","true"
"64","0.02","14.9","true","64","0.44","14.6","true","64","0","124.7","true","64","0","124.3","true","64","0","113.5","true","64","0.54","104.5","true","64","0","104.7","true"
"65","0.02","14.9","true","65","0.44","14.6","true","65","0","124.7","true","65","0","124.3","true","65","0","113.5","true","65","0.5","104.5","true","65","0.04","104.7","true"
"66","0.04","14.9","true","66","0.42","14.6","true","66","0","124.7","true","66","0","124.3","true","66","0","113.5","true","66","0.54","104.5","true","66","0","104.7","true"
"67","0.02","14.9","true","67","0.44","14.6","true","67","0","124.7","true","67","0","124.3","true","67","0","113.5","true","67","0","104.5","true","67","0.54","104.7","true"
"68","0.02","14.9","true","68","0.44","14.6","true","68","0","124.7","true","68","0","124.3","true","68","0","113.5","true","68","0.54","104.5","true","68","0","104.7","true"
"69","0.02","14.9","true","69","0.44","14.6","true","69","0","124.7","true","69","0","124.3","true","69","0.54","113.5","true","69","0","104.5","true","69","0","104.7","true"
"70","0.46","14.9","true","70","0","14.6","true","70","0","124.7","true","70","0","124.3","true","70","0","113.5","true","70","0.54","104.5","true","70","0","104.7","true"
"71","0.02","14.9","true","71","0.44","14.6","true","71","0","124.7","true","71","0","124.3","true","71","0","113.5","true","71","0","104.5","true","71","0.54","104.7","true"
"72","0.46","14.9","true","72","0","14.6","true","72","0","124.7","true","72","0","124.3","true","72","0","113.5","true","72","0.54","104.5","true","72","0","104.7","true"
"73","0.02","14.9","true","73","0.44","14.6","true","73","0","124.7","true","73","0","124.3","true","73","0","113.5","true","73","0.54","104.5","true","73","0","104.7","true"
"74","0.02","14.9","true","74","0.44","14.6","true","74","0","124.7","true","74","0","124.3","true","74","0","113.5","true","74","0","104.5","true","74","0.54","104.7","true"
"75","0.04","14.9","true","75","0.42","14.6","true","75","0","124.7","true","75","0","124.3","true","75","0","113.5","true","75","0.54","104.5","true","75","0","104.7","true"
"76","0.02","14.9","true","76","0.44","14.6","true","76","0","124.7","true","76","0","124.3","true","76","0","113.5","true","76","0.54","104.5","true","76","0","104.7","true"
"77","0.02","14.9","true","77","0.44","14.6","true","77","0","124.7","true","77","0","124.3","true","77","0","113.5","true","77","0.54","104.5","true","77","0","104.7","true"
"78","0.02","14.9","true","78","0.44","14.6","true","78","0","124.7","true","78","0","124.3","true","78","0.28","113.5","true","78","0","104.5","true","78","0.26","104.7","true"
"79","0.02","14.9","true","79","0.44","14.6","true","79","0","124.7","true","79","0","124.3","true","79","0.52","113.5","true","79","0.02","104.5","true","79","0","104.7","true"
"80","0.02","14.9","true","80","0.44","14.6","true","80","0","124.7","true","80","0","124.3","true","80","0","113.5","true","80","0.54","104.5","true","80","0","104.7","true"
"81","0.42","14.9","true","81","0.04","14.6","true","81","0","124.7","true","81","0","124.3","true","81","0","113.5","true","81","0.02","104.5","true","81","0.52","104.7","true"
"82","0.04","14.9","true","82","0.42","14.6","true","82","0","124.7","true","82","0","124.3","true","82","0.4","113.5","true","82","0","104.5","true","82","0.14","104.7","true"
"83","0.04","14.9","true","83","0.42","14.6","true","83","0","124.7","true","83","0","124.3","true","83","0","113.5","true","83","0.54","104.5","true","83","0","104.7","true"
"84","0.46","14.9","true","84","0","14.6","true","84","0","124.7","true","84","0","124.3","true","84","0.52","113.5","true","84","0","104.5","true","84","0.02","104.7","true"
"85","0.46","14.9","true","85","0","14.6","true","85","0","124.7","true","85","0","124.3","true","85","0","113.5","true","85","0.54","104.5","true","85","0","104.7","true"
"86","0.44","14.9","true","86","0.02","14.6","true","86","0","124.7","true","86","0","124.3","true","86","0.34","113.5","true","86","0","104.5","true","86","0.2","104.7","true"
"87","0.46","14.9","true","87","0","14.6","true","87","0","124.7","true","87","0","124.3","true","87","0","113.5","true","87","0.54","104.5","true","87","0","104.7","true"
"88","0.46","14.9","true","88","0","14.6","true","88","0","124.7","true","88","0","124.3","true","88","0","113.5","true","88","0.54","104.5","true","88","0","104.7","true"
"89","0.46","14.9","true","89","0","14.6","true","89","0","124.7","true","89","0","124.3","true","89","0.36","113.5","true","89","0","104.5","true","89","0.18","104.7","true"
"90","0.46","14.9","true","90","0","14.6","true","90","0","124.7","true","90","0","124.3","true","90","0","113.5","true","90","0.54","104.5","true","90","0","104.7","true"
"91","0.44","14.9","true","91","0.02","14.6","true","91","0","124.7","true","91","0","124.3","true","91","0.26","113.5","true","91","0","104.5","true","91","0.28","104.7","true"
"92","0.02","14.9","true","92","0.44","14.6","true","92","0","124.7","true","92","0","124.3","true","92","0","113.5","true","92","0.54","104.5","true","92","0","104.7","true"
"93","0.02","14.9","true","93","0.44","14.6","true","93","0","124.7","true","93","0","124.3","true","93","0","113.5","true","93","0.54","104.5","true","93","0","104.7","true"
"94","0.46","14.9","true","94","0","14.6","true","94","0","124.7","true","94","0","124.3","true","94","0.02","113.5","true","94","0.52","104.5","true","94","0","104.7","true"
"95","0.02","14.9","true","95","0.44","14.6","true","95","0","124.7","true","95","0","124.3","true","95","0","113.5","true","95","0","104.5","true","95","0.54","104.7","true"
"96","0.46","14.9","true","96","0","14.6","true","96","0","124.7","true","96","0","124.3","true","96","0","113.5","true","96","0.52","104.5","true","96","0.02","104.7","true"
"97","0.02","14.9","true","97","0.44","14.6","true","97","0","124.7","true","97","0","124.3","true","97","0.52","113.5","true","97","0.02","104.5","true","97","0","104.7","true"
"98","0.02","14.9","true","98","0.44","14.6","true","98","0","124.7","true","98","0","124.3","true","98","0.54","113.5","true","98","0","104.5","true","98","0","104.7","true"
"99","0.02","14.9","true","99","0.44","14.6","true","99","0","124.7","true","99","0","124.3","true","99","0.5","113.5","true","99","0.04","104.5","true","99","0","104.7","true"
"100","0.02","14.9","true","100","0.44","14.6","true","100","0","124.7","true","100","0","124.3","true","100","0","113.5","true","100","0.54","104.5","true","100","0","104.7","true"
